file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,1,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,2,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,13
static\style.css,3,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,4,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,6
static\style.css,5,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,25
static\style.css,6,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,16
static\style.css,7,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,16
static\style.css,8,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,20
static\style.css,9,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,30
static\style.css,10,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,33
static\style.css,11,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,22
static\style.css,12,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,13,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,14,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,15,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,29
static\style.css,16,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,17,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,5
static\style.css,18,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,24
static\style.css,19,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,56
static\style.css,20,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,12
static\style.css,21,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,22,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,14
static\style.css,23,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,24,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,25,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,26,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,27,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,16
static\style.css,28,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,29,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,4
static\style.css,30,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,13
static\style.css,31,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,30
static\style.css,32,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,19
static\style.css,33,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,36
static\style.css,34,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,22
static\style.css,35,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,19
static\style.css,36,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,15
static\style.css,37,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,9
static\style.css,38,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,39,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,40,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,6
